epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,13753.9,0.21643,0.29438,0.16451,0.76596,0.99219,1,0.995,0.76052,0.8163,0.83195,0.83855,0.4595,0.41432,1.04671,0.18639,0.76796,2.4875e-05,2.4875e-05,2.4875e-05
1,152.684,0.45476,0.6014,0.30215,0.79794,0.99297,0.98912,0.99433,0.75586,0.84173,0.83827,0.8098,0.42817,0.4448,0.59532,0.25941,0.76994,0.000404762,0.000404762,0.000404762
2,300.803,0.47737,0.63082,0.3168,0.79903,0.98823,0.98972,0.99235,0.74689,0.84001,0.8391,0.79876,0.42339,0.47515,0.61921,0.26607,0.77241,0.000813296,0.000813296,0.000813296
3,447.06,0.5004,0.64626,0.32977,0.80188,0.9882,0.98075,0.99063,0.75628,0.85886,0.85424,0.81815,0.44191,0.46669,0.61632,0.27965,0.77328,0.00121358,0.00121358,0.00121358
4,593.563,0.50577,0.63891,0.32812,0.8021,0.99385,0.98384,0.99074,0.74362,0.85975,0.85709,0.82477,0.45025,0.47283,0.64327,0.27705,0.77153,0.00121287,0.00121287,0.00121287
5,741.001,0.50463,0.65021,0.32486,0.80364,0.99059,0.99178,0.99133,0.74533,0.83745,0.83827,0.79453,0.42785,0.48902,0.61117,0.27631,0.77293,0.0012005,0.0012005,0.0012005
6,887.048,0.50835,0.63699,0.3248,0.80427,0.99151,0.99072,0.99428,0.74468,0.83094,0.83132,0.77563,0.41122,0.46429,0.6037,0.27997,0.77204,0.00118812,0.00118812,0.00118812
7,1034.67,0.4802,0.63813,0.31073,0.79803,0.98546,0.98958,0.98746,0.73647,0.85382,0.84923,0.8231,0.45708,0.47958,0.59841,0.27325,0.77441,0.00117575,0.00117575,0.00117575
8,1184.64,0.48563,0.62698,0.31211,0.80246,0.98847,0.99232,0.99085,0.74879,0.84222,0.84594,0.8052,0.44647,0.47375,0.61987,0.26871,0.77401,0.00116337,0.00116337,0.00116337
9,1331.4,0.46531,0.61402,0.30291,0.79954,0.98474,0.98742,0.98661,0.73878,0.84716,0.84642,0.81473,0.43203,0.525,0.72496,0.28231,0.77666,0.001151,0.001151,0.001151
10,1477.32,0.4664,0.61312,0.30148,0.79614,0.98919,0.99067,0.98944,0.74338,0.8614,0.85734,0.82214,0.4357,0.45694,0.66765,0.26216,0.77324,0.00113863,0.00113863,0.00113863
11,1623.57,0.46864,0.60092,0.30265,0.80079,0.98928,0.98174,0.98154,0.72915,0.85229,0.85234,0.82393,0.46959,0.50247,0.68669,0.27737,0.77589,0.00112625,0.00112625,0.00112625
12,1769.63,0.45606,0.59406,0.29659,0.79534,0.98234,0.98729,0.99045,0.69506,0.85406,0.8607,0.82765,0.46092,0.55764,0.73963,0.28815,0.78014,0.00111388,0.00111388,0.00111388
13,1916.06,0.45477,0.5934,0.29229,0.79563,0.98047,0.99251,0.98944,0.73526,0.85394,0.86184,0.82394,0.47166,0.4877,0.60059,0.25233,0.77294,0.0011015,0.0011015,0.0011015
14,2063.19,0.46078,0.6012,0.2904,0.79694,0.99172,0.99507,0.99429,0.73333,0.83778,0.84302,0.78489,0.41882,0.48359,0.67311,0.25047,0.77312,0.00108913,0.00108913,0.00108913
15,2209.16,0.45046,0.58253,0.28677,0.79794,0.98662,0.98871,0.98776,0.74192,0.84569,0.84119,0.79828,0.42995,0.50934,0.70134,0.2604,0.77558,0.00107675,0.00107675,0.00107675
16,2356.38,0.45082,0.58841,0.28378,0.79595,0.98906,0.98648,0.98558,0.72226,0.85271,0.85124,0.81493,0.44386,0.49591,0.66024,0.25617,0.77398,0.00106437,0.00106437,0.00106437
17,2502.6,0.43344,0.56361,0.27936,0.79489,0.99292,0.99781,0.99453,0.7587,0.84808,0.84466,0.79399,0.42667,0.46657,0.65732,0.24857,0.77142,0.001052,0.001052,0.001052
18,2648.49,0.42517,0.55587,0.27171,0.79381,0.9886,0.99287,0.99002,0.75395,0.85413,0.85334,0.81506,0.44028,0.45201,0.66865,0.23819,0.77108,0.00103962,0.00103962,0.00103962
19,2794.73,0.43596,0.56494,0.27658,0.79734,0.9898,0.99091,0.99154,0.74401,0.85206,0.85234,0.81254,0.43577,0.4705,0.65235,0.24412,0.77191,0.00102725,0.00102725,0.00102725
20,2941.92,0.41758,0.54291,0.26964,0.79166,0.99386,0.98436,0.98908,0.74434,0.81809,0.81762,0.76375,0.41577,0.46937,0.74464,0.24888,0.77362,0.00101488,0.00101488,0.00101488
21,3088.08,0.42802,0.56645,0.27364,0.79451,0.98475,0.98939,0.98886,0.69946,0.85495,0.84119,0.80333,0.43435,0.55045,0.76869,0.2652,0.77939,0.0010025,0.0010025,0.0010025
22,3235.32,0.42546,0.55174,0.27101,0.79451,0.98914,0.98465,0.98412,0.75177,0.83948,0.83681,0.79282,0.43733,0.44399,0.67086,0.23986,0.7706,0.000990125,0.000990125,0.000990125
23,3381.85,0.41035,0.5395,0.26055,0.79073,0.99604,0.98904,0.98888,0.73963,0.85586,0.85161,0.81543,0.46076,0.46713,0.64707,0.24055,0.77354,0.00097775,0.00097775,0.00097775
24,3528.41,0.40984,0.51686,0.2598,0.79339,0.98548,0.97533,0.97877,0.7212,0.86508,0.85926,0.82678,0.4609,0.47203,0.68126,0.24198,0.77235,0.000965375,0.000965375,0.000965375
25,3674.4,0.40513,0.51827,0.25933,0.79386,0.98901,0.9852,0.98412,0.72081,0.83417,0.8337,0.79235,0.45115,0.49647,0.71306,0.24315,0.77784,0.000953,0.000953,0.000953
26,3820.81,0.401,0.52467,0.25747,0.7932,0.99154,0.98393,0.98449,0.71736,0.8361,0.83296,0.78878,0.44662,0.49815,0.72035,0.24403,0.77686,0.000940625,0.000940625,0.000940625
27,3967.97,0.39703,0.50411,0.25462,0.79018,0.99788,0.9904,0.98968,0.73675,0.8481,0.84412,0.81122,0.45772,0.48072,0.67318,0.24124,0.77337,0.00092825,0.00092825,0.00092825
28,4114.38,0.38343,0.48468,0.25001,0.79066,0.9872,0.983,0.98178,0.74814,0.84612,0.839,0.79566,0.45267,0.44324,0.66841,0.23502,0.77037,0.000915875,0.000915875,0.000915875
29,4260.33,0.37772,0.49025,0.25042,0.79147,0.98611,0.98794,0.98606,0.74771,0.85202,0.85398,0.80568,0.44683,0.45724,0.69791,0.22864,0.77253,0.0009035,0.0009035,0.0009035
30,4406.94,0.37636,0.47586,0.24751,0.7896,0.9867,0.98849,0.98638,0.75435,0.83945,0.84101,0.79446,0.43634,0.46533,0.72971,0.23225,0.77213,0.000891125,0.000891125,0.000891125
31,4553.1,0.37588,0.4871,0.24586,0.78939,0.97667,0.97746,0.97511,0.73467,0.83681,0.8284,0.79356,0.42921,0.47153,0.70487,0.23545,0.77417,0.00087875,0.00087875,0.00087875
32,4699.48,0.37096,0.47643,0.24402,0.78968,0.98827,0.99232,0.99065,0.72362,0.83845,0.84156,0.80346,0.44495,0.48388,0.7475,0.23225,0.77245,0.000866375,0.000866375,0.000866375
33,4845.75,0.35933,0.47014,0.23982,0.78832,0.99109,0.99403,0.99151,0.74992,0.83503,0.83391,0.79353,0.43162,0.45645,0.75855,0.22419,0.77151,0.000854,0.000854,0.000854
34,4992.32,0.37068,0.47973,0.24383,0.78921,0.99426,0.99086,0.99365,0.75387,0.85329,0.85015,0.81604,0.46312,0.46983,0.66679,0.22185,0.77149,0.000841625,0.000841625,0.000841625
35,5138.27,0.36271,0.46041,0.2373,0.78857,0.99173,0.98777,0.98562,0.73131,0.85404,0.84795,0.81517,0.4484,0.48492,0.71165,0.23903,0.77522,0.00082925,0.00082925,0.00082925
36,5283.91,0.34931,0.44086,0.23127,0.78689,0.99064,0.98844,0.98659,0.73845,0.85348,0.85234,0.81157,0.44325,0.4546,0.73639,0.22017,0.77264,0.000816875,0.000816875,0.000816875
37,5430.61,0.35751,0.44604,0.23662,0.78861,0.99407,0.99068,0.98982,0.75485,0.84264,0.84101,0.79899,0.44394,0.44351,0.7413,0.22405,0.77148,0.0008045,0.0008045,0.0008045
38,5577.05,0.35365,0.43821,0.23325,0.78698,0.98402,0.98331,0.98507,0.75075,0.82792,0.82752,0.78255,0.42858,0.46561,0.80152,0.22268,0.77384,0.000792125,0.000792125,0.000792125
39,5723.93,0.33881,0.43584,0.22809,0.78741,0.99052,0.98958,0.98886,0.75945,0.83596,0.83364,0.80328,0.4389,0.43796,0.74055,0.2164,0.76961,0.00077975,0.00077975,0.00077975
40,5870.43,0.33127,0.42575,0.2243,0.78612,0.99271,0.99452,0.99247,0.76252,0.8386,0.83991,0.78805,0.43097,0.44618,0.79768,0.21713,0.77147,0.000767375,0.000767375,0.000767375
41,6016.36,0.33092,0.42136,0.22426,0.78395,0.99571,0.99528,0.99446,0.74381,0.82892,0.83077,0.79643,0.45233,0.46183,0.8297,0.22145,0.77156,0.000755,0.000755,0.000755
42,6162.21,0.33095,0.42722,0.22464,0.78453,0.98988,0.98958,0.98847,0.73118,0.85907,0.85599,0.82839,0.47047,0.47727,0.81521,0.2249,0.77369,0.000742625,0.000742625,0.000742625
43,6308.32,0.34566,0.43827,0.22647,0.78681,0.99437,0.9852,0.98779,0.75043,0.83994,0.83443,0.78734,0.43356,0.44975,0.84532,0.21637,0.7711,0.00073025,0.00073025,0.00073025
44,6454.86,0.33028,0.42681,0.22131,0.78804,0.99349,0.99261,0.99234,0.74797,0.83884,0.83882,0.78607,0.43177,0.45714,0.81783,0.22169,0.77162,0.000717875,0.000717875,0.000717875
45,6601.29,0.32179,0.40312,0.21671,0.78821,0.99096,0.99013,0.98891,0.74575,0.7992,0.79851,0.75291,0.41834,0.44436,0.79144,0.21327,0.77043,0.0007055,0.0007055,0.0007055
46,6748.35,0.31984,0.41467,0.21548,0.78392,0.9952,0.99781,0.99467,0.74951,0.8387,0.84101,0.80501,0.45622,0.47144,0.85723,0.21903,0.77371,0.000693125,0.000693125,0.000693125
47,6894.68,0.31721,0.40482,0.21599,0.78632,0.99475,0.9961,0.99378,0.73979,0.83036,0.83155,0.79975,0.44334,0.46127,0.88252,0.2111,0.77292,0.00068075,0.00068075,0.00068075
48,7041.63,0.30979,0.39908,0.21377,0.78549,0.99527,0.99452,0.99413,0.73535,0.80711,0.80866,0.76658,0.42745,0.45637,0.82311,0.21178,0.77158,0.000668375,0.000668375,0.000668375
49,7187.82,0.31266,0.40173,0.21235,0.78276,0.99337,0.99452,0.99296,0.7455,0.83321,0.83253,0.79168,0.45224,0.4626,0.88187,0.21215,0.77323,0.000656,0.000656,0.000656
50,7335.13,0.31735,0.39977,0.21633,0.78455,0.98969,0.99224,0.98923,0.7299,0.83032,0.83178,0.79367,0.44162,0.48524,0.89572,0.22742,0.77427,0.000643625,0.000643625,0.000643625
51,7482.2,0.31071,0.38618,0.21486,0.78569,0.98996,0.98805,0.9898,0.75534,0.83961,0.8412,0.81357,0.44718,0.44481,0.90288,0.20718,0.77147,0.00063125,0.00063125,0.00063125
52,7629.38,0.30018,0.3755,0.20694,0.78227,0.99676,0.99671,0.9947,0.75237,0.8437,0.84393,0.81994,0.44833,0.45495,0.81104,0.20965,0.77114,0.000618875,0.000618875,0.000618875
53,7776.04,0.29477,0.37497,0.20492,0.78536,0.98949,0.98246,0.98562,0.73673,0.81717,0.82109,0.79142,0.44466,0.4774,0.88657,0.21779,0.77296,0.0006065,0.0006065,0.0006065
54,7922.2,0.30333,0.38426,0.2091,0.78586,0.98846,0.9879,0.99037,0.74771,0.82866,0.83498,0.79846,0.44623,0.44335,0.80473,0.2146,0.77217,0.000594125,0.000594125,0.000594125
55,8068.71,0.29646,0.37184,0.20751,0.7827,0.99516,0.99193,0.99367,0.74601,0.83753,0.83772,0.79366,0.44502,0.45638,0.88085,0.21586,0.7727,0.00058175,0.00058175,0.00058175
56,8215.75,0.29163,0.37223,0.2024,0.78298,0.99418,0.99507,0.99122,0.74932,0.84149,0.84229,0.79748,0.44271,0.43885,0.86048,0.20946,0.7709,0.000569375,0.000569375,0.000569375
57,8363.11,0.28156,0.35906,0.19943,0.78372,0.99127,0.99222,0.98844,0.73731,0.85174,0.8538,0.80171,0.45101,0.46489,0.98469,0.21068,0.77183,0.000557,0.000557,0.000557
58,8510.45,0.28919,0.36845,0.20261,0.7819,0.9958,0.99507,0.99454,0.75287,0.83345,0.83333,0.79267,0.43502,0.454,0.88196,0.20983,0.77176,0.000544625,0.000544625,0.000544625
59,8656.99,0.28788,0.36235,0.20248,0.7841,0.98572,0.9852,0.98523,0.73761,0.81433,0.81579,0.78677,0.43576,0.4628,0.99863,0.21212,0.77204,0.00053225,0.00053225,0.00053225
60,8804.28,0.28258,0.35802,0.19896,0.78204,0.98712,0.98794,0.9842,0.73256,0.82681,0.82749,0.77766,0.43232,0.46474,0.96023,0.20866,0.7719,0.000519875,0.000519875,0.000519875
61,8950.92,0.28368,0.36103,0.20137,0.783,0.9951,0.9953,0.9935,0.74396,0.81829,0.81981,0.78971,0.43676,0.45526,1.0035,0.20861,0.77226,0.0005075,0.0005075,0.0005075
62,9097.75,0.26956,0.34552,0.19272,0.78181,0.99723,0.99657,0.9947,0.75145,0.83818,0.83955,0.79602,0.43911,0.43992,0.93362,0.19748,0.7718,0.000495125,0.000495125,0.000495125
63,9244.4,0.27836,0.34802,0.19335,0.78258,0.99179,0.99287,0.99032,0.72707,0.82641,0.82733,0.79387,0.46042,0.47896,0.98329,0.21524,0.7742,0.00048275,0.00048275,0.00048275
64,9391.35,0.27578,0.35914,0.19332,0.78243,0.9927,0.99452,0.99146,0.72998,0.83585,0.83717,0.80548,0.45996,0.46708,0.98293,0.20714,0.77196,0.000470375,0.000470375,0.000470375
65,9537.09,0.26769,0.33765,0.19207,0.7806,0.99616,0.99449,0.99441,0.75335,0.82291,0.82365,0.77729,0.43087,0.43367,0.94032,0.19823,0.77021,0.000458,0.000458,0.000458
66,9683.95,0.26245,0.33657,0.18913,0.78211,0.99341,0.99318,0.99096,0.74687,0.82624,0.82657,0.78008,0.4282,0.44592,1.02719,0.20039,0.77122,0.000445625,0.000445625,0.000445625
67,9831.11,0.25944,0.33392,0.18835,0.78083,0.99314,0.99397,0.99137,0.74598,0.82539,0.82386,0.79199,0.44441,0.44531,0.97233,0.20139,0.77198,0.00043325,0.00043325,0.00043325
68,9977.27,0.2595,0.33,0.18717,0.78009,0.99185,0.99013,0.9902,0.7394,0.82104,0.82237,0.77922,0.43579,0.45658,1.0776,0.20695,0.77191,0.000420875,0.000420875,0.000420875
69,10124,0.2644,0.34097,0.18794,0.78039,0.9932,0.99287,0.99061,0.75058,0.82251,0.82036,0.77981,0.43675,0.44466,1.0246,0.20133,0.77188,0.0004085,0.0004085,0.0004085
70,10271.3,0.25438,0.33006,0.18453,0.78226,0.99506,0.99452,0.99226,0.74738,0.8385,0.83827,0.80738,0.44633,0.45286,1.0009,0.20863,0.77206,0.000396125,0.000396125,0.000396125
71,10418.5,0.2568,0.33098,0.18578,0.78204,0.99079,0.99123,0.99071,0.76103,0.82499,0.82548,0.7779,0.4235,0.43888,0.95234,0.19348,0.77107,0.00038375,0.00038375,0.00038375
72,10565.3,0.25591,0.32645,0.18559,0.77995,0.99093,0.99178,0.98966,0.75413,0.83904,0.84131,0.79258,0.44978,0.43982,0.96091,0.19773,0.77077,0.000371375,0.000371375,0.000371375
73,10712.3,0.24228,0.31323,0.17936,0.77908,0.98777,0.99032,0.98809,0.74276,0.82768,0.8295,0.79644,0.44631,0.44107,1.00558,0.20074,0.77124,0.000359,0.000359,0.000359
74,10858.9,0.24757,0.31464,0.18218,0.78018,0.99483,0.99507,0.9936,0.74761,0.82399,0.82438,0.77496,0.43886,0.43486,0.996,0.19564,0.77117,0.000346625,0.000346625,0.000346625
75,11005.4,0.25209,0.32779,0.18255,0.78066,0.99397,0.99436,0.99195,0.75196,0.83176,0.83205,0.78007,0.44408,0.44834,1.0602,0.20594,0.77143,0.00033425,0.00033425,0.00033425
76,11152.6,0.25121,0.3251,0.18437,0.77861,0.99287,0.99507,0.99192,0.74857,0.83561,0.83735,0.79728,0.43967,0.43565,1.00553,0.19749,0.77072,0.000321875,0.000321875,0.000321875
77,11299,0.2434,0.31242,0.17881,0.77854,0.99197,0.9926,0.99187,0.75407,0.83779,0.83863,0.80276,0.45156,0.43693,1.03441,0.19835,0.77078,0.0003095,0.0003095,0.0003095
78,11445.1,0.24168,0.30617,0.17858,0.78104,0.99484,0.99561,0.9942,0.75565,0.82884,0.8295,0.78801,0.44836,0.42784,0.99846,0.19294,0.77046,0.000297125,0.000297125,0.000297125
79,11591.6,0.24651,0.31713,0.18014,0.77867,0.99146,0.98958,0.98957,0.74468,0.82933,0.83059,0.78746,0.44778,0.45086,1.06831,0.19947,0.77137,0.00028475,0.00028475,0.00028475
80,148.476,0.27004,0.31581,0.2156,0.7837,0.99381,0.99397,0.99216,0.762,0.82389,0.8242,0.7859,0.43596,0.45059,0.95595,0.23397,0.77225,0.000272375,0.000272375,0.000272375
81,294.998,0.24737,0.31482,0.19094,0.78097,0.99019,0.99013,0.98964,0.75101,0.83735,0.83754,0.80132,0.44954,0.45571,1.04471,0.22373,0.77229,0.00026,0.00026,0.00026
82,440.492,0.2395,0.30359,0.18346,0.78057,0.98987,0.99089,0.99009,0.74727,0.82878,0.8295,0.79236,0.43996,0.45564,1.10007,0.21953,0.77241,0.000247625,0.000247625,0.000247625
83,586.013,0.23819,0.30095,0.17908,0.77993,0.99128,0.99342,0.99136,0.75189,0.83217,0.8337,0.80392,0.44552,0.44433,1.04872,0.20938,0.77168,0.00023525,0.00023525,0.00023525
84,732.387,0.23654,0.29952,0.17902,0.78087,0.99415,0.99287,0.99154,0.75481,0.8296,0.83059,0.79657,0.45079,0.43505,1.06073,0.20229,0.77145,0.000222875,0.000222875,0.000222875
85,878.268,0.23444,0.30095,0.17614,0.78086,0.99394,0.99498,0.99241,0.7477,0.8294,0.83023,0.79877,0.44772,0.44553,1.08563,0.20426,0.77094,0.0002105,0.0002105,0.0002105
86,1024.72,0.23358,0.29612,0.17573,0.77678,0.99396,0.99496,0.99315,0.7602,0.8281,0.82876,0.79147,0.44727,0.42882,1.03131,0.1965,0.77053,0.000198125,0.000198125,0.000198125
87,1169.79,0.23172,0.29613,0.17457,0.78033,0.99241,0.99397,0.99127,0.74547,0.82525,0.82712,0.79418,0.44871,0.44198,1.13188,0.1984,0.77107,0.00018575,0.00018575,0.00018575
88,1315.73,0.22516,0.29428,0.17064,0.77927,0.99287,0.99319,0.9916,0.7545,0.81077,0.81118,0.76785,0.43403,0.434,1.15317,0.1957,0.77083,0.000173375,0.000173375,0.000173375
89,1461.61,0.22387,0.28777,0.17076,0.77624,0.99537,0.99561,0.99437,0.76222,0.81736,0.81762,0.77846,0.44423,0.43075,1.07033,0.19701,0.77085,0.000161,0.000161,0.000161
90,1607.1,0.21837,0.28059,0.1664,0.78077,0.99068,0.99065,0.98906,0.75033,0.81133,0.81159,0.76761,0.43678,0.43431,1.13881,0.19537,0.77068,0.000148625,0.000148625,0.000148625
91,1738.07,0.24068,0.3298,0.17927,0.76726,0.99211,0.99232,0.99161,0.74315,0.81167,0.8125,0.76399,0.42477,0.45017,1.20273,0.20575,0.77204,0.00013625,0.00013625,0.00013625
92,1868.59,0.21746,0.28609,0.16276,0.7677,0.99326,0.99452,0.99288,0.7448,0.8152,0.81634,0.77401,0.43483,0.44294,1.09556,0.20384,0.77168,0.000123875,0.000123875,0.000123875
93,1999.16,0.2119,0.27869,0.15948,0.76535,0.99313,0.99325,0.99092,0.75158,0.83265,0.83304,0.7917,0.44172,0.43185,1.04624,0.19938,0.77102,0.0001115,0.0001115,0.0001115
94,2129.5,0.20819,0.26724,0.15813,0.76585,0.9928,0.99287,0.99109,0.74564,0.81467,0.81689,0.76939,0.43543,0.44222,1.12563,0.19883,0.77207,9.9125e-05,9.9125e-05,9.9125e-05
95,2259.84,0.2033,0.26139,0.15359,0.76515,0.99244,0.99232,0.99079,0.74782,0.82321,0.82621,0.7844,0.44443,0.43704,1.12009,0.19754,0.77071,8.675e-05,8.675e-05,8.675e-05
96,2389.94,0.19837,0.25382,0.15032,0.76451,0.9934,0.99245,0.99105,0.74571,0.82868,0.83077,0.79125,0.44494,0.43836,1.15577,0.19787,0.77138,7.4375e-05,7.4375e-05,7.4375e-05
97,2520.54,0.19345,0.25466,0.14703,0.76473,0.99286,0.99226,0.9908,0.75022,0.82644,0.82858,0.78597,0.44133,0.43354,1.16073,0.19431,0.77135,6.2e-05,6.2e-05,6.2e-05
98,2651.33,0.19026,0.2562,0.1464,0.76656,0.99198,0.99013,0.98932,0.75141,0.81721,0.81817,0.77711,0.43786,0.43349,1.16057,0.19299,0.7715,4.9625e-05,4.9625e-05,4.9625e-05
99,2781.57,0.18891,0.25185,0.14539,0.76416,0.99337,0.99224,0.99074,0.7485,0.8209,0.82273,0.78392,0.44736,0.43766,1.17608,0.19459,0.77158,3.725e-05,3.725e-05,3.725e-05
100,2911.96,0.19447,0.25276,0.14838,0.76679,0.99335,0.99342,0.99073,0.75183,0.82238,0.82438,0.78503,0.44457,0.43655,1.16239,0.19317,0.77141,2.4875e-05,2.4875e-05,2.4875e-05
